# This file was produced by bcftools stats (1.19+htslib-1.19) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  snps_final_highqual.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	snps_final_highqual.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	7677
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	7677
SN	0	number of MNPs:	0
SN	0	number of indels:	0
SN	0	number of others:	0
SN	0	number of multiallelic sites:	30
SN	0	number of multiallelic SNP sites:	30
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	4144	3563	1.16	4141	3536	1.17
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	4287	2162	2125	0	0	0	0
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	4287	2162	2125	0	0	0	0
AF	0	0.990000	3420	1982	1438	0	0	0	0
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	50.0	4	2	2	0
QUAL	0	50.1	2	1	1	0
QUAL	0	50.2	2	2	0	0
QUAL	0	50.3	1	1	0	0
QUAL	0	50.4	2	0	2	0
QUAL	0	50.6	1	1	0	0
QUAL	0	50.7	5	2	3	0
QUAL	0	50.8	3	2	1	0
QUAL	0	50.9	3	1	2	0
QUAL	0	51.0	4	1	3	0
QUAL	0	51.1	2	2	0	0
QUAL	0	51.2	1	1	0	0
QUAL	0	51.3	4	3	1	0
QUAL	0	51.4	3	2	1	0
QUAL	0	51.6	4	2	2	0
QUAL	0	51.7	2	0	2	0
QUAL	0	51.8	2	2	0	0
QUAL	0	51.9	2	2	0	0
QUAL	0	52.0	2	1	1	0
QUAL	0	52.1	1	1	0	0
QUAL	0	52.2	1	1	0	0
QUAL	0	52.3	2	1	1	0
QUAL	0	52.5	2	1	1	0
QUAL	0	52.6	3	1	2	0
QUAL	0	52.7	4	2	2	0
QUAL	0	52.8	5	3	2	0
QUAL	0	52.9	2	1	1	0
QUAL	0	53.0	4	3	1	0
QUAL	0	53.2	2	1	1	0
QUAL	0	53.4	1	1	0	0
QUAL	0	53.5	1	1	0	0
QUAL	0	53.6	4	3	1	0
QUAL	0	53.7	1	1	0	0
QUAL	0	53.8	2	0	2	0
QUAL	0	54.0	6	4	2	0
QUAL	0	54.1	6	4	2	0
QUAL	0	54.2	4	3	1	0
QUAL	0	54.6	1	1	0	0
QUAL	0	54.7	1	1	0	0
QUAL	0	54.9	2	0	2	0
QUAL	0	55.0	2	2	0	0
QUAL	0	55.1	4	3	1	0
QUAL	0	55.2	2	1	1	0
QUAL	0	55.4	2	1	1	0
QUAL	0	55.5	1	0	1	0
QUAL	0	55.6	1	0	1	0
QUAL	0	55.7	4	2	2	0
QUAL	0	55.8	5	3	2	0
QUAL	0	55.9	5	2	3	0
QUAL	0	56.2	1	1	0	0
QUAL	0	56.3	2	2	0	0
QUAL	0	56.4	2	1	1	0
QUAL	0	56.5	1	0	1	0
QUAL	0	56.6	2	1	1	0
QUAL	0	56.7	1	0	1	0
QUAL	0	56.8	1	0	1	0
QUAL	0	56.9	1	1	0	0
QUAL	0	57.0	3	0	3	0
QUAL	0	57.1	3	1	2	0
QUAL	0	57.2	2	2	0	0
QUAL	0	57.4	1	0	1	0
QUAL	0	57.8	3	3	0	0
QUAL	0	57.9	1	1	0	0
QUAL	0	58.0	6	3	3	0
QUAL	0	58.1	5	2	3	0
QUAL	0	58.2	1	1	0	0
QUAL	0	58.3	2	1	1	0
QUAL	0	58.4	1	1	0	0
QUAL	0	58.5	2	1	1	0
QUAL	0	58.6	1	0	1	0
QUAL	0	58.7	2	1	1	0
QUAL	0	58.8	12	4	8	0
QUAL	0	58.9	4	2	2	0
QUAL	0	59.0	2	1	1	0
QUAL	0	59.1	1	0	1	0
QUAL	0	59.2	1	0	1	0
QUAL	0	59.4	2	0	2	0
QUAL	0	59.5	1	1	0	0
QUAL	0	59.6	1	1	0	0
QUAL	0	59.7	1	1	0	0
QUAL	0	59.8	2	2	0	0
QUAL	0	59.9	1	0	1	0
QUAL	0	60.1	2	2	0	0
QUAL	0	60.2	1	1	0	0
QUAL	0	60.4	1	0	1	0
QUAL	0	60.5	3	1	2	0
QUAL	0	60.6	3	2	1	0
QUAL	0	60.7	2	1	1	0
QUAL	0	60.8	4	4	0	0
QUAL	0	60.9	1	1	0	0
QUAL	0	61.0	2	1	1	0
QUAL	0	61.1	4	2	2	0
QUAL	0	61.2	4	0	4	0
QUAL	0	61.3	1	1	0	0
QUAL	0	61.4	2	2	0	0
QUAL	0	61.5	2	1	1	0
QUAL	0	61.7	5	1	4	0
QUAL	0	61.8	1	0	1	0
QUAL	0	61.9	5	1	4	0
QUAL	0	62.0	7	4	3	0
QUAL	0	62.1	10	4	6	0
QUAL	0	62.2	6	3	3	0
QUAL	0	62.3	2	1	1	0
QUAL	0	62.4	1	0	1	0
QUAL	0	62.7	1	0	1	0
QUAL	0	62.9	1	1	0	0
QUAL	0	63.0	3	2	1	0
QUAL	0	63.1	1	1	0	0
QUAL	0	63.2	5	2	3	0
QUAL	0	63.4	1	0	1	0
QUAL	0	63.5	3	1	2	0
QUAL	0	63.7	3	1	2	0
QUAL	0	63.8	1	1	0	0
QUAL	0	63.9	4	1	3	0
QUAL	0	64.0	1	0	1	0
QUAL	0	64.1	2	1	1	0
QUAL	0	64.2	8	3	5	0
QUAL	0	64.3	3	1	2	0
QUAL	0	64.4	2	2	0	0
QUAL	0	64.5	2	0	2	0
QUAL	0	64.6	3	1	2	0
QUAL	0	64.7	2	1	1	0
QUAL	0	64.8	2	0	2	0
QUAL	0	64.9	1	1	0	0
QUAL	0	65.0	3	2	1	0
QUAL	0	65.1	6	1	5	0
QUAL	0	65.2	1	0	1	0
QUAL	0	65.3	4	1	3	0
QUAL	0	65.5	2	1	1	0
QUAL	0	65.7	4	3	1	0
QUAL	0	65.9	5	3	2	0
QUAL	0	66.0	2	2	0	0
QUAL	0	66.1	6	3	3	0
QUAL	0	66.2	3	2	1	0
QUAL	0	66.3	2	0	2	0
QUAL	0	66.4	3	3	0	0
QUAL	0	66.5	1	1	0	0
QUAL	0	66.6	1	1	0	0
QUAL	0	66.7	1	0	1	0
QUAL	0	66.8	1	0	1	0
QUAL	0	66.9	1	1	0	0
QUAL	0	67.0	4	2	2	0
QUAL	0	67.1	2	1	1	0
QUAL	0	67.2	2	1	1	0
QUAL	0	67.3	1	1	0	0
QUAL	0	67.4	3	0	3	0
QUAL	0	67.5	2	2	0	0
QUAL	0	67.6	3	0	3	0
QUAL	0	67.7	1	0	1	0
QUAL	0	67.8	1	1	0	0
QUAL	0	67.9	1	1	0	0
QUAL	0	68.0	6	2	4	0
QUAL	0	68.1	5	3	2	0
QUAL	0	68.3	2	0	2	0
QUAL	0	68.4	5	1	4	0
QUAL	0	68.5	2	0	2	0
QUAL	0	68.6	3	1	2	0
QUAL	0	68.7	3	1	2	0
QUAL	0	68.8	4	0	4	0
QUAL	0	69.0	3	1	2	0
QUAL	0	69.1	1	1	0	0
QUAL	0	69.2	3	1	2	0
QUAL	0	69.4	4	0	4	0
QUAL	0	69.5	2	1	1	0
QUAL	0	69.6	1	1	0	0
QUAL	0	69.8	1	1	0	0
QUAL	0	70.0	1	1	0	0
QUAL	0	70.1	3	1	2	0
QUAL	0	70.2	3	1	2	0
QUAL	0	70.3	2	1	1	0
QUAL	0	70.4	2	1	1	0
QUAL	0	70.5	6	1	5	0
QUAL	0	70.6	1	0	1	0
QUAL	0	70.8	2	0	2	0
QUAL	0	70.9	3	2	1	0
QUAL	0	71.0	2	1	1	0
QUAL	0	71.1	2	2	0	0
QUAL	0	71.2	1	0	1	0
QUAL	0	71.3	2	0	2	0
QUAL	0	71.4	3	1	2	0
QUAL	0	71.5	3	1	2	0
QUAL	0	71.8	2	2	0	0
QUAL	0	71.9	4	2	2	0
QUAL	0	72.0	4	1	3	0
QUAL	0	72.2	2	0	2	0
QUAL	0	72.3	2	0	2	0
QUAL	0	72.4	5	2	3	0
QUAL	0	72.5	2	0	2	0
QUAL	0	72.6	2	2	0	0
QUAL	0	72.7	2	0	2	0
QUAL	0	72.8	2	1	1	0
QUAL	0	72.9	2	2	0	0
QUAL	0	73.0	6	4	2	0
QUAL	0	73.1	4	3	1	0
QUAL	0	73.2	7	3	4	0
QUAL	0	73.3	2	1	1	0
QUAL	0	73.4	2	0	2	0
QUAL	0	73.5	3	0	3	0
QUAL	0	73.6	3	1	2	0
QUAL	0	73.7	1	0	1	0
QUAL	0	73.8	2	2	0	0
QUAL	0	73.9	2	1	1	0
QUAL	0	74.0	6	4	2	0
QUAL	0	74.2	3	2	1	0
QUAL	0	74.3	2	1	1	0
QUAL	0	74.4	1	1	0	0
QUAL	0	74.5	4	1	3	0
QUAL	0	74.6	3	2	1	0
QUAL	0	74.8	2	0	2	0
QUAL	0	74.9	10	3	7	0
QUAL	0	75.0	4	2	2	0
QUAL	0	75.1	3	1	2	0
QUAL	0	75.2	2	1	1	0
QUAL	0	75.3	1	0	1	0
QUAL	0	75.4	2	0	2	0
QUAL	0	75.5	2	1	1	0
QUAL	0	75.6	2	2	0	0
QUAL	0	75.7	3	3	0	0
QUAL	0	76.0	8	7	1	0
QUAL	0	76.1	3	1	2	0
QUAL	0	76.2	2	1	1	0
QUAL	0	76.3	5	3	2	0
QUAL	0	76.4	1	0	1	0
QUAL	0	76.5	3	1	2	0
QUAL	0	76.6	4	1	3	0
QUAL	0	76.7	3	2	1	0
QUAL	0	76.9	2	0	2	0
QUAL	0	77.0	5	3	2	0
QUAL	0	77.1	3	1	2	0
QUAL	0	77.2	4	3	1	0
QUAL	0	77.3	5	3	2	0
QUAL	0	77.4	3	1	2	0
QUAL	0	77.5	2	0	2	0
QUAL	0	77.6	3	3	0	0
QUAL	0	77.7	1	0	1	0
QUAL	0	77.8	5	5	0	0
QUAL	0	77.9	3	1	2	0
QUAL	0	78.0	4	4	0	0
QUAL	0	78.1	1	0	1	0
QUAL	0	78.2	3	0	3	0
QUAL	0	78.3	3	1	2	0
QUAL	0	78.4	2	0	2	0
QUAL	0	78.5	2	0	2	0
QUAL	0	78.6	3	1	2	0
QUAL	0	78.8	1	0	1	0
QUAL	0	78.9	3	1	2	0
QUAL	0	79.0	1	1	0	0
QUAL	0	79.1	1	1	0	0
QUAL	0	79.2	4	2	2	0
QUAL	0	79.3	3	1	2	0
QUAL	0	79.4	5	3	2	0
QUAL	0	79.5	3	3	0	0
QUAL	0	79.6	2	1	1	0
QUAL	0	79.9	3	2	1	0
QUAL	0	80.0	7	5	2	0
QUAL	0	80.1	3	2	1	0
QUAL	0	80.2	6	2	4	0
QUAL	0	80.3	4	2	2	0
QUAL	0	80.4	4	2	2	0
QUAL	0	80.5	2	2	0	0
QUAL	0	80.6	5	2	3	0
QUAL	0	80.7	1	0	1	0
QUAL	0	80.8	1	0	1	0
QUAL	0	80.9	2	0	2	0
QUAL	0	81.0	4	1	3	0
QUAL	0	81.2	3	2	1	0
QUAL	0	81.3	6	3	3	0
QUAL	0	81.4	4	4	0	0
QUAL	0	81.6	3	1	2	0
QUAL	0	81.7	4	0	4	0
QUAL	0	81.8	2	1	1	0
QUAL	0	81.9	2	0	2	0
QUAL	0	82.0	3	1	2	0
QUAL	0	82.1	1	1	0	0
QUAL	0	82.2	4	3	1	0
QUAL	0	82.3	5	3	2	0
QUAL	0	82.4	2	2	0	0
QUAL	0	82.5	4	1	3	0
QUAL	0	82.6	2	0	2	0
QUAL	0	82.7	5	2	3	0
QUAL	0	82.8	1	1	0	0
QUAL	0	82.9	4	1	3	0
QUAL	0	83.0	1	0	1	0
QUAL	0	83.1	2	1	1	0
QUAL	0	83.2	6	3	3	0
QUAL	0	83.3	2	0	2	0
QUAL	0	83.4	4	1	3	0
QUAL	0	83.5	7	6	1	0
QUAL	0	83.6	7	3	4	0
QUAL	0	83.7	2	1	1	0
QUAL	0	83.9	1	1	0	0
QUAL	0	84.0	2	1	1	0
QUAL	0	84.1	1	0	1	0
QUAL	0	84.2	3	1	2	0
QUAL	0	84.3	3	2	1	0
QUAL	0	84.4	3	1	2	0
QUAL	0	84.5	3	2	1	0
QUAL	0	84.6	4	2	2	0
QUAL	0	84.7	4	1	3	0
QUAL	0	84.8	5	3	2	0
QUAL	0	84.9	1	0	1	0
QUAL	0	85.0	3	2	1	0
QUAL	0	85.1	2	1	1	0
QUAL	0	85.2	3	3	0	0
QUAL	0	85.3	5	3	2	0
QUAL	0	85.4	2	1	1	0
QUAL	0	85.5	7	4	3	0
QUAL	0	85.6	5	2	3	0
QUAL	0	85.7	2	2	0	0
QUAL	0	85.8	1	0	1	0
QUAL	0	85.9	1	0	1	0
QUAL	0	86.0	3	2	1	0
QUAL	0	86.1	4	2	2	0
QUAL	0	86.2	1	0	1	0
QUAL	0	86.3	3	1	2	0
QUAL	0	86.4	8	4	4	0
QUAL	0	86.5	3	3	0	0
QUAL	0	86.6	3	1	2	0
QUAL	0	86.7	2	1	1	0
QUAL	0	86.8	4	2	2	0
QUAL	0	86.9	2	2	0	0
QUAL	0	87.0	9	6	3	0
QUAL	0	87.1	4	4	0	0
QUAL	0	87.4	3	1	2	0
QUAL	0	87.6	3	1	2	0
QUAL	0	87.7	3	0	3	0
QUAL	0	87.8	2	0	2	0
QUAL	0	87.9	1	1	0	0
QUAL	0	88.0	2	2	0	0
QUAL	0	88.1	4	2	2	0
QUAL	0	88.2	3	2	1	0
QUAL	0	88.4	2	0	2	0
QUAL	0	88.5	5	2	3	0
QUAL	0	88.6	4	3	1	0
QUAL	0	88.7	3	2	1	0
QUAL	0	88.8	3	1	2	0
QUAL	0	88.9	1	0	1	0
QUAL	0	89.0	2	0	2	0
QUAL	0	89.1	5	1	4	0
QUAL	0	89.2	2	1	1	0
QUAL	0	89.3	3	0	3	0
QUAL	0	89.4	4	2	2	0
QUAL	0	89.5	8	4	4	0
QUAL	0	89.6	4	3	1	0
QUAL	0	89.9	1	0	1	0
QUAL	0	90.0	2	1	1	0
QUAL	0	90.1	3	2	1	0
QUAL	0	90.2	1	0	1	0
QUAL	0	90.3	1	1	0	0
QUAL	0	90.4	1	0	1	0
QUAL	0	90.5	2	2	0	0
QUAL	0	90.6	4	1	3	0
QUAL	0	90.7	4	4	0	0
QUAL	0	90.8	2	1	1	0
QUAL	0	90.9	1	0	1	0
QUAL	0	91.0	3	3	0	0
QUAL	0	91.1	4	2	2	0
QUAL	0	91.3	3	1	2	0
QUAL	0	91.4	1	0	1	0
QUAL	0	91.5	3	2	1	0
QUAL	0	91.6	8	3	5	0
QUAL	0	91.7	1	0	1	0
QUAL	0	91.8	6	1	5	0
QUAL	0	91.9	2	1	1	0
QUAL	0	92.0	3	1	2	0
QUAL	0	92.1	6	4	2	0
QUAL	0	92.2	2	1	1	0
QUAL	0	92.3	2	2	0	0
QUAL	0	92.4	1	0	1	0
QUAL	0	92.5	2	2	0	0
QUAL	0	92.6	1	0	1	0
QUAL	0	92.7	1	0	1	0
QUAL	0	92.8	2	1	1	0
QUAL	0	92.9	4	3	1	0
QUAL	0	93.0	4	2	2	0
QUAL	0	93.1	5	4	1	0
QUAL	0	93.2	1	0	1	0
QUAL	0	93.3	2	0	2	0
QUAL	0	93.4	4	2	2	0
QUAL	0	93.5	2	2	0	0
QUAL	0	93.6	5	1	4	0
QUAL	0	93.7	2	0	2	0
QUAL	0	93.8	2	1	1	0
QUAL	0	93.9	3	2	1	0
QUAL	0	94.0	2	1	1	0
QUAL	0	94.1	7	5	2	0
QUAL	0	94.2	3	2	1	0
QUAL	0	94.3	1	1	0	0
QUAL	0	94.4	3	1	2	0
QUAL	0	94.5	2	2	0	0
QUAL	0	94.6	1	1	0	0
QUAL	0	94.7	2	2	0	0
QUAL	0	94.8	4	2	2	0
QUAL	0	94.9	4	1	3	0
QUAL	0	95.0	2	0	2	0
QUAL	0	95.1	4	2	2	0
QUAL	0	95.2	4	1	3	0
QUAL	0	95.3	4	4	0	0
QUAL	0	95.4	1	0	1	0
QUAL	0	95.5	1	1	0	0
QUAL	0	95.6	3	2	1	0
QUAL	0	95.7	2	1	1	0
QUAL	0	95.8	2	2	0	0
QUAL	0	95.9	5	2	3	0
QUAL	0	96.0	5	4	1	0
QUAL	0	96.1	2	0	2	0
QUAL	0	96.2	2	2	0	0
QUAL	0	96.3	3	3	0	0
QUAL	0	96.4	1	0	1	0
QUAL	0	96.5	1	0	1	0
QUAL	0	96.6	3	1	2	0
QUAL	0	96.7	3	1	2	0
QUAL	0	96.8	3	1	2	0
QUAL	0	96.9	5	3	2	0
QUAL	0	97.0	6	3	3	0
QUAL	0	97.1	3	3	0	0
QUAL	0	97.3	2	2	0	0
QUAL	0	97.4	2	2	0	0
QUAL	0	97.5	2	2	0	0
QUAL	0	97.6	1	0	1	0
QUAL	0	97.8	4	2	2	0
QUAL	0	97.9	3	1	2	0
QUAL	0	98.0	6	4	2	0
QUAL	0	98.1	9	6	3	0
QUAL	0	98.2	7	6	1	0
QUAL	0	98.3	7	4	3	0
QUAL	0	98.4	2	0	2	0
QUAL	0	98.5	2	0	2	0
QUAL	0	98.6	3	1	2	0
QUAL	0	98.7	9	5	4	0
QUAL	0	98.8	8	4	4	0
QUAL	0	98.9	4	2	2	0
QUAL	0	99.0	4	2	2	0
QUAL	0	99.1	8	3	5	0
QUAL	0	99.2	1	1	0	0
QUAL	0	99.3	1	0	1	0
QUAL	0	99.4	1	1	0	0
QUAL	0	99.6	4	2	2	0
QUAL	0	99.7	3	2	1	0
QUAL	0	99.9	3	1	2	0
QUAL	0	100.0	3	2	1	0
QUAL	0	100.1	8	5	3	0
QUAL	0	100.2	2	1	1	0
QUAL	0	100.3	3	2	1	0
QUAL	0	100.4	3	1	2	0
QUAL	0	100.5	3	2	1	0
QUAL	0	100.6	4	1	3	0
QUAL	0	100.7	7	5	2	0
QUAL	0	100.8	7	4	3	0
QUAL	0	100.9	4	1	3	0
QUAL	0	101.0	2	0	2	0
QUAL	0	101.1	5	1	4	0
QUAL	0	101.2	1	1	0	0
QUAL	0	101.3	4	2	2	0
QUAL	0	101.4	5	4	1	0
QUAL	0	101.5	1	0	1	0
QUAL	0	101.6	1	0	1	0
QUAL	0	101.7	3	3	0	0
QUAL	0	101.8	7	2	5	0
QUAL	0	101.9	2	0	2	0
