# This file was produced by bcftools stats (1.19+htslib-1.19) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  variants.vcf
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	variants.vcf
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	2467825
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	2293753
SN	0	number of MNPs:	0
SN	0	number of indels:	174072
SN	0	number of others:	0
SN	0	number of multiallelic sites:	3356
SN	0	number of multiallelic SNP sites:	1590
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	1268354	1026989	1.24	1267838	1025915	1.24
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	325088	159902	165186	13751	0	0	13751
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	325088	159902	165186	13751	0	0	13751
AF	0	0.990000	1970255	1108452	861803	162087	0	0	162087
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	3.0	1015	418	597	22
QUAL	0	3.1	1221	522	699	35
QUAL	0	3.2	3882	2064	1818	349
QUAL	0	3.3	640	312	328	25
QUAL	0	3.4	974	433	541	22
QUAL	0	3.5	889	429	460	20
QUAL	0	3.6	1009	448	561	27
QUAL	0	3.7	3254	1570	1684	345
QUAL	0	3.8	758	366	392	21
QUAL	0	3.9	660	293	367	15
QUAL	0	4.0	919	419	500	15
QUAL	0	4.1	697	301	396	29
QUAL	0	4.2	786	349	437	25
QUAL	0	4.3	21180	11024	10156	316
QUAL	0	4.4	1899	943	956	14
QUAL	0	4.5	1703	767	936	15
QUAL	0	4.6	1290	611	679	29
QUAL	0	4.7	1013	510	503	36
QUAL	0	4.8	890	435	455	70
QUAL	0	4.9	1990	741	1249	50
QUAL	0	5.0	4670	2630	2040	400
QUAL	0	5.1	624	314	310	42
QUAL	0	5.2	485	255	230	30
QUAL	0	5.3	556	273	283	22
QUAL	0	5.4	526	253	273	38
QUAL	0	5.5	628	303	325	45
QUAL	0	5.6	2531	1353	1178	57
QUAL	0	5.7	3673	1778	1895	354
QUAL	0	5.8	673	313	360	42
QUAL	0	5.9	524	242	282	20
QUAL	0	6.0	696	253	443	25
QUAL	0	6.1	551	274	277	30
QUAL	0	6.2	594	301	293	43
QUAL	0	6.3	773	366	407	60
QUAL	0	6.4	1195	533	662	65
QUAL	0	6.5	2523	1388	1135	395
QUAL	0	6.6	462	226	236	15
QUAL	0	6.7	462	245	217	27
QUAL	0	6.8	2021	973	1048	19
QUAL	0	6.9	1632	810	822	47
QUAL	0	7.0	1637	801	836	37
QUAL	0	7.1	1542	734	808	67
QUAL	0	7.2	1758	724	1034	72
QUAL	0	7.3	84319	47340	36979	358
QUAL	0	7.4	361	196	165	15
QUAL	0	7.5	528	258	270	19
QUAL	0	7.6	353	173	180	28
QUAL	0	7.7	347	179	168	22
QUAL	0	7.8	563	269	294	41
QUAL	0	7.9	674	321	353	65
QUAL	0	8.0	797	341	456	44
QUAL	0	8.1	1676	845	831	352
QUAL	0	8.2	436	207	229	45
QUAL	0	8.3	624	284	340	25
